model,model_group,cv_auroc_mean,cv_auroc_sd,cv_auroc_se,cv_auprc_mean,cv_auprc_sd,cv_auprc_se,test_auroc,test_auprc,test_f1,test_precision,test_recall,seed,negative_multiplier,n_train,n_test,n_go_selected,D
CatBoost,advanced boosting,0.984,0.006,0.003,0.969,0.011,0.005,0.985,0.973,0.897,0.87,0.926,42,2,1293,324,70,76
XGBoost,advanced boosting,0.983,0.004,0.002,0.967,0.009,0.004,0.982,0.971,0.901,0.877,0.926,42,2,1293,324,70,76
LightGBM,advanced boosting,0.982,0.006,0.003,0.964,0.014,0.006,0.982,0.969,0.897,0.87,0.926,42,2,1293,324,70,76
Gradient Boosting,boosting,0.981,0.006,0.003,0.964,0.011,0.005,0.98,0.967,0.906,0.878,0.935,42,2,1293,324,70,76
RBF SVM,kernel,0.969,0.01,0.004,0.935,0.02,0.009,0.98,0.964,0.869,0.798,0.954,42,2,1293,324,70,76
Random Forest,ensemble,0.974,0.011,0.005,0.946,0.023,0.01,0.978,0.954,0.886,0.842,0.935,42,2,1293,324,70,76
Extra Trees,ensemble,0.964,0.007,0.003,0.928,0.015,0.007,0.974,0.949,0.829,0.727,0.963,42,2,1293,324,70,76
Logistic Regression,linear,0.96,0.004,0.002,0.938,0.007,0.003,0.973,0.957,0.883,0.86,0.907,42,2,1293,324,70,76
Linear SVM,kernel,0.959,0.005,0.002,0.939,0.005,0.002,0.967,0.948,0.858,0.847,0.87,42,2,1293,324,70,76
AdaBoost,boosting,0.966,0.005,0.002,0.934,0.005,0.002,0.967,0.939,0.841,0.849,0.833,42,2,1293,324,70,76
kNN,instance,0.928,0.013,0.006,0.848,0.022,0.01,0.952,0.906,0.809,0.813,0.806,42,2,1293,324,70,76
Decision Tree,tree,0.909,0.015,0.007,0.836,0.032,0.014,0.923,0.873,0.857,0.828,0.889,42,2,1293,324,70,76
Gaussian NB,probabilistic,0.859,0.025,0.011,0.726,0.043,0.019,0.877,0.718,0.716,0.72,0.713,42,2,1293,324,70,76
